Code,Name,Earnings Data,52 week Range,Est_Q1,Est_Q2,Est_Q3,Est_Q4,Act_Q1,Act_Q2,Act_Q3,Act_Q4,CSV File Path
SKYY,First Trust Cloud Computing ETF,,,null,,
FFBC,First Financial Bancorp.,Apr 19  2017 - Apr 24  ,16.93 - 29.80,0.33,0.34,0.36,0.37,0.32,0.36,0.37,0.38,../test/Nasdaq/FFBC/FFBC.csv,
SMRT,Stein Mart  Inc.,Mar 8  2017 - Mar 13  ,2.76 - 9.23,0.26,0.07,-0.15,-0.05,0.29,0.06,-0.24,-0.11,../test/Nasdaq/SMRT/SMRT.csv,
SSH,Sunshine Heart Inc,Mar 1  2017 - Mar 6  ,0.15 - 11.03,-11.15,-9.3,-6.3,-6,-10.8,-7.8,-6.9,-8.1,../test/Nasdaq/SSH/SSH.csv,
ESGE,iShares MSCI EM ESG Optimized E,,,null,,
PNTR,Pointer Telocation Ltd.,Feb 27  2017 - Mar 3  ,5.23 - 9.75,0.15,0.12,0.11,0.12,-0.01,0.11,0.09,0.06,../test/Nasdaq/PNTR/PNTR.csv,
ENOC,EnerNOC  Inc.,Mar 14  2017 ,4.85 - 7.88,-1.3,-1.72,-0.33,0.08,-4.51,-1.41,N/A,0.65,../test/Nasdaq/ENOC/ENOC.csv,
VBND,Vident Core U.S. Bond Strategy,,,null,,
RAVN,Raven Industries  Inc.,Mar 8  2017 - Mar 13  ,12.88 - 31.35,0.11,0.09,0.09,0.12,0.03,0.15,0.12,0.16,../test/Nasdaq/RAVN/RAVN.csv,
NSIT,Insight Enterprises  Inc.,Apr 26  2017 - May 1  ,23.31 - 46.00,0.28,0.75,0.53,0.68,0.21,0.97,0.62,0.72,../test/Nasdaq/NSIT/NSIT.csv,
BHACR,Barington/Hilco Acquisition Cor,,,null,,
ACFC,Atlantic Coast Financial Corpor,Apr 25  2017 - May 1  ,5.53 - 8.00,0.07,0.08,0.09,0.09,0.07,0.08,0.08,0.11,../test/Nasdaq/ACFC/ACFC.csv,
UTSI,UTStarcom Holdings Corp,Mar 9  2017 - Mar 13  ,1.59 - 2.27,-0.15,-0.21,-0.08,-0.05,-0.37,0.01,0.15,-0.04,../test/Nasdaq/UTSI/UTSI.csv,
CAMP,CalAmp Corp.,,,null,,
STRL,Sterling Construction Company I,May 1  2017 - May 5  ,4.19 - 10.92,-0.02,-0.03,0.1,0.22,-0.06,-0.37,0.09,0.1,../test/Nasdaq/STRL/STRL.csv,
KE,Kimball Electronics  Inc.,May 2  2017 - May 8  ,9.98 - 19.00,0.2,0.21,0.18,0.2,0.26,0.2,0.24,0.28,../test/Nasdaq/KE/KE.csv,
LE,Lands End  Inc.,Mar 15  2017 - Mar 20  ,14.03 - 27.60,0.73,0.02,0.02,-0.05,0.71,-0.18,-0.06,-0.11,../test/Nasdaq/LE/LE.csv,
PKBK,Parke Bancorp  Inc.,Apr 17  2017 - Apr 21  ,12.52 - 21.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/PKBK/PKBK.csv,
ADRE,BLDRS Emerging Markets 50 ADR I,,,null,,
AROW,Arrow Financial Corporation,Apr 18  2017 - Apr 24  ,25.81 - 41.70,0.43,0.47,0.49,0.51,0.49,0.5,0.5,0.49,../test/Nasdaq/AROW/AROW.csv,
CPIX,Cumberland Pharmaceuticals Inc.,Mar 1  2017 - Mar 6  ,4.20 - 6.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CPIX/CPIX.csv,
BPOPN,Popular  Inc.,,,null,,
HONE,HarborOne Bancorp  Inc.,,,null,,
ANDAU,Andina Acquisition Corp. II,,,null,,
TWNK,Hostess Brands  Inc.,,,null,,
RVSB,Riverview Bancorp Inc,Apr 26  2017 - May 1  ,4.20 - 8.16,0.08,0.07,0.07,0.08,0.06,0.08,0.07,0.09,../test/Nasdaq/RVSB/RVSB.csv,
GBT,Global Blood Therapeutics  Inc.,Mar 27  2017 - Mar 31  ,12.24 - 37.85,-0.56,-0.51,-0.59,-0.58,-0.53,-0.56,-0.58,-0.58,../test/Nasdaq/GBT/GBT.csv,
PDCO,Patterson Companies  Inc.,Feb 23  2017 - Feb 27  ,36.46 - 50.40,0.75,0.51,0.6,0.57,0.77,0.51,0.56,0.58,../test/Nasdaq/PDCO/PDCO.csv,
ATRA,Atara Biotherapeutics  Inc.,Mar 1  2017 - Mar 6  ,12.45 - 25.73,-0.48,-0.55,-0.61,-0.78,-0.75,-0.58,-0.66,-0.88,../test/Nasdaq/ATRA/ATRA.csv,
KRNT,Kornit Digital Ltd.,May 3  2017 - May 8  ,8.10 - 18.50,0.02,0.04,0.08,0.13,0.02,0.02,0.11,0.16,../test/Nasdaq/KRNT/KRNT.csv,
ANGO,AngioDynamics  Inc.,Apr 5  2017 - Apr 10  ,10.64 - 18.18,0.14,0.16,0.13,0.16,0.15,0.19,0.17,0.19,../test/Nasdaq/ANGO/ANGO.csv,
PRIM,Primoris Services Corporation,Feb 23  2017 - Feb 27  ,16.13 - 29.19,0.06,0.22,0.21,0.31,0.05,0.1,0.09,0.28,../test/Nasdaq/PRIM/PRIM.csv,
DFBG,Differential Brands Group Inc.,,,null,,
AGTC,Applied Genetic Technologies Co,May 8  2017 - May 12  ,6.07 - 19.86,0.05,0.07,-0.08,0.02,0.11,0.15,0.2,0.11,../test/Nasdaq/AGTC/AGTC.csv,
TERP,TerraForm Power  Inc.,Mar 21  2016 - Mar 25  ,7.23 - 14.69,-0.86,-0.26,-0.2,-0.16,0.55,-0.01,-0.23,-0.25,../test/Nasdaq/TERP/TERP.csv,
SPAR,Spartan Motors  Inc.,Feb 23  2017 - Feb 27  ,3.71 - 10.50,-0.05,0.08,0.07,0.02,0.03,0.19,0.1,0.04,../test/Nasdaq/SPAR/SPAR.csv,
AMTD,TD Ameritrade Holding Corporati,Apr 19  2017 ,26.37 - 47.41,0.38,0.38,0.38,0.41,0.38,0.45,0.35,0.41,../test/Nasdaq/AMTD/AMTD.csv,
IPGP,IPG Photonics Corporation,Apr 26  2017 - May 1  ,76.22 - 124.27,0.98,1.19,1.24,1.4,0.92,1.25,1.29,1.39,../test/Nasdaq/IPGP/IPGP.csv,
LIOX,Lionbridge Technologies  Inc.,Feb 9  2017 - Feb 13  ,3.90 - 5.96,0.04,0.12,0.17,0.15,0.05,0.09,0.14,0.13,../test/Nasdaq/LIOX/LIOX.csv,
STRM,Streamline Health Solutions  In,Apr 18  2017 - Apr 24  ,1.08 - 2.11,-0.09,-0.1,-0.09,-0.08,-0.09,-0.1,-0.06,-0.1,../test/Nasdaq/STRM/STRM.csv,
NRCIB,National Research Corporation,May 1  2017 - May 5  ,32.18 - 46.37,0.22,0.18,0.19,0.22,0.21,0.18,0.19,0.23,../test/Nasdaq/NRCIB/NRCIB.csv,
CONE,CyrusOne Inc,Feb 21  2017 - Feb 27  ,38.80 - 52.06,0.06,0.1,0.09,0.02,0.07,0.11,0.05,0.05,../test/Nasdaq/CONE/CONE.csv,
MRCY,Mercury Systems Inc,Apr 24  2017 - Apr 28  ,16.34 - 39.17,0.14,0.14,0.16,0.11,0.13,0.21,0.1,0.13,../test/Nasdaq/MRCY/MRCY.csv,
TUSA,First Trust Total US Market Alp,,,null,,
CBF,Capital Bank Financial Corp.,Apr 20  2017 - Apr 24  ,27.71 - 42.00,0.38,0.38,0.42,0.43,0.38,0.42,0.42,0.44,../test/Nasdaq/CBF/CBF.csv,
ATEC,Alphatec Holdings  Inc.,Mar 13  2017 - Mar 17  ,2.16 - 9.65,-0.21,-0.48,-0.54,-0.48,-0.36,N/A,-0.36,-0.48,../test/Nasdaq/ATEC/ATEC.csv,
CFCB,CENTRUE FIN CORP,Apr 26  2017 - May 1  ,16.24 - 26.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CFCB/CFCB.csv,
IPHS,Innophos Holdings  Inc.,Feb 20  2017 - Feb 24  ,37.02 - 58.22,0.42,0.57,0.65,0.48,0.66,0.69,0.75,0.52,../test/Nasdaq/IPHS/IPHS.csv,
TBNK,Territorial Bancorp Inc.,Apr 26  2017 - May 1  ,24.96 - 34.00,0.4,0.41,0.44,0.46,0.41,0.43,0.45,0.46,../test/Nasdaq/TBNK/TBNK.csv,
HNNA,Hennessy Advisors  Inc.,May 2  2017 - May 8  ,16.37 - 39.50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/HNNA/HNNA.csv,
CJJD,China Jo-Jo Drugstores  Inc.,Feb 10  2017 - Feb 14  ,1.47 - 2.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CJJD/CJJD.csv,
FUSB,First US Bancshares  Inc.,Apr 27  2017 - May 1  ,8.82 - 15.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/FUSB/FUSB.csv,
SSKN,Strata Skin Sciences  Inc.,Mar 8  2017 - Mar 13  ,0.43 - 1.53,-0.22,-0.18,-0.1,-0.1,-0.06,-0.14,0.05,-0.14,../test/Nasdaq/SSKN/SSKN.csv,
SOHO,Sotherly Hotels Inc.,Feb 21  2017 - Feb 27  ,4.65 - 7.66,0.25,0.25,0.05,0.05,0.23,0.12,-0.11,-0.05,../test/Nasdaq/SOHO/SOHO.csv,
MYOS,MYOS RENS Technology Inc.,Nov 13  2015 - Nov 16  ,1.02 - 6.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/MYOS/MYOS.csv,
DEPO,Depomed  Inc.,Feb 20  2017 - Mar 2  ,12.25 - 27.02,0.17,0.26,0.35,0.36,0.05,0.19,0.17,0.3,../test/Nasdaq/DEPO/DEPO.csv,
RGLS,Regulus Therapeutics Inc.,Feb 21  2017 - Feb 24  ,0.94 - 8.90,-0.33,-0.38,-0.4,-0.37,-0.4,-0.4,-0.37,-0.38,../test/Nasdaq/RGLS/RGLS.csv,
IBKCP,IBERIABANK Corporation,,,null,,
LMFAW,LM Funding America  Inc.,,,null,,
CHEF,The Chefs Warehouse  Inc.,Feb 16  2017 - Feb 20  ,10.31 - 20.79,0.08,0.22,0.08,0.16,0.05,0.15,0.07,0.18,../test/Nasdaq/CHEF/CHEF.csv,
PGC,Peapack-Gladstone Financial Cor,Apr 20  2017 - Apr 24  ,16.46 - 33.30,0.29,0.35,0.38,0.44,0.34,0.4,0.43,0.43,../test/Nasdaq/PGC/PGC.csv,
SGMO,Sangamo Therapeutics  Inc.,Feb 21  2017 - Feb 24  ,2.65 - 7.60,-0.24,-0.24,-0.25,-0.25,-0.23,-0.38,-0.27,-0.14,../test/Nasdaq/SGMO/SGMO.csv,
FRBA,First Bank,,,null,,
MRDN,Meridian Waste Solutions  Inc,,,null,,
OESX,Orion Energy Systems  Inc.,Feb 7  2017 - Feb 13  ,1.04 - 2.57,-0.09,-0.11,-0.09,-0.04,-0.11,-0.11,-0.03,-0.04,../test/Nasdaq/OESX/OESX.csv,
AUPH,Aurinia Pharmaceuticals Inc,,,null,,
ONCE,Spark Therapeutics  Inc.,Mar 7  2017 - Mar 13  ,28.38 - 65.99,-0.84,-0.97,-1.01,-1.12,-0.95,-1.04,-1.07,-1.21,../test/Nasdaq/ONCE/ONCE.csv,
CFCO,CAPITOL FIRST CORP,,,null,,
BOJA,Bojangles   Inc.,Feb 13  2017 - Feb 17  ,14.55 - 21.85,0.18,0.23,0.21,0.21,0.21,0.27,0.25,0.28,../test/Nasdaq/BOJA/BOJA.csv,
COYNW,COPsync  Inc.,,,null,,
NXEOU,Nexeo Solutions  Inc.,,,null,,
SIMO,Silicon Motion Technology Corpo,Apr 25  2017 - May 1  ,37.37 - 47.43,0.65,0.76,0.94,0.89,0.68,0.86,1.07,0.95,../test/Nasdaq/SIMO/SIMO.csv,
IDXG,Interpace Diagnostics Group  In,Mar 28  2017 - Apr 3  ,0.07 - 14.25,-0.5,-0.48,-0.46,-0.4,-0.32,-0.2,-3.9,-2.5,../test/Nasdaq/IDXG/IDXG.csv,
ANIK,Anika Therapeutics Inc.,Apr 25  2017 - May 1  ,41.38 - 54.96,0.28,0.44,0.47,0.53,0.45,0.57,0.59,0.54,../test/Nasdaq/ANIK/ANIK.csv,
MITL,Mitel Networks Corporation,Feb 23  2017 - Feb 27  ,5.81 - 8.52,0.07,0.14,0.12,0.23,0.06,0.19,0.12,0.22,../test/Nasdaq/MITL/MITL.csv,
GWPH,GW Pharmaceuticals Plc,,,null,,
RMTI,Rockwell Medical  Inc.,Feb 27  2017 - Mar 3  ,3.55 - 10.58,0.02,-0.08,-0.1,-0.1,-0.12,-0.09,-0.11,-0.09,../test/Nasdaq/RMTI/RMTI.csv,
MITK,Mitek Systems  Inc.,Apr 26  2017 - May 1  ,5.26 - 9.49,0.04,0.04,0.06,0.03,0.07,0.07,0.07,0.03,../test/Nasdaq/MITK/MITK.csv,
IDRA,Idera Pharmaceuticals  Inc.,Mar 8  2017 - Mar 13  ,1.19 - 3.33,-0.11,-0.11,-0.11,-0.12,-0.1,-0.11,-0.11,-0.1,../test/Nasdaq/IDRA/IDRA.csv,
AAXJ,iShares MSCI All Country Asia e,,,null,,
RMGN,RMG Networks Holding Corporatio,Mar 8  2017 - Mar 13  ,0.59 - 1.30,-0.07,-0.05,-0.03,-0.02,-0.04,-0.05,-0.02,-0.03,../test/Nasdaq/RMGN/RMGN.csv,
FWONK,Liberty Media Corporation,,,null,,
EACQ,Easterly Acquisition Corp.,,,null,,
STBA,S T Bancorp  Inc.,Apr 19  2017 - Apr 24  ,23.10 - 39.84,0.52,0.49,0.5,0.54,0.46,0.49,0.59,0.51,../test/Nasdaq/STBA/STBA.csv,
SYPR,Sypris Solutions  Inc.,Mar 28  2017 - Apr 3  ,0.75 - 1.49,-0.28,-0.27,-0.26,-0.25,-0.28,-0.26,-0.26,-0.47,../test/Nasdaq/SYPR/SYPR.csv,
HAFC,Hanmi Financial Corporation,Apr 17  2017 - Apr 21  ,20.64 - 35.85,0.41,0.42,0.44,0.43,0.46,0.44,0.41,0.45,../test/Nasdaq/HAFC/HAFC.csv,
AMBA,Ambarella  Inc.,Mar 1  2017 - Mar 6  ,35.26 - 74.95,0.28,0.38,0.94,0.74,0.34,0.54,1.11,0.92,../test/Nasdaq/AMBA/AMBA.csv,
HRMNW,Harmony Merger Corp.,,,null,,
FFIV,F5 Networks  Inc.,Apr 26  2017 ,93.64 - 148.34,1.63,1.79,1.94,1.94,1.68,1.81,2.11,1.98,../test/Nasdaq/FFIV/FFIV.csv,
PRPH,ProPhase Labs  Inc.,Mar 27  2017 - Mar 31  ,1.08 - 2.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/PRPH/PRPH.csv,
CCBG,Capital City Bank Group,Apr 24  2017 - Apr 28  ,13.16 - 23.15,0.13,0.16,0.15,0.17,0.1,0.22,0.17,0.2,../test/Nasdaq/CCBG/CCBG.csv,
AMSF,AMERISAFE  Inc.,Feb 22  2017 - Feb 27  ,50.02 - 69.40,0.83,0.89,0.9,0.98,1.26,0.85,0.93,1.04,../test/Nasdaq/AMSF/AMSF.csv,
SIVBO,SVB Financial Group,,,null,,
CNTY,Century Casinos  Inc.,May 8  2017 ,5.34 - 8.27,0.11,0.1,0.13,0.1,0.03,0.08,0.09,0.08,../test/Nasdaq/CNTY/CNTY.csv,
HBAN,Huntington Bancshares Incorpora,Apr 18  2017 - Apr 24  ,8.05 - 14.74,0.2,0.21,0.21,0.22,0.2,0.19,0.11,0.18,../test/Nasdaq/HBAN/HBAN.csv,
GLMD,Galmed Pharmaceuticals Ltd.,Mar 20  2017 - Mar 24  ,2.78 - 7.72,-0.28,-0.33,-0.35,-0.39,-0.29,-0.36,-0.39,-0.34,../test/Nasdaq/GLMD/GLMD.csv,
CAPNW,Capnia  Inc.,,,null,,
TAX,Liberty Tax  Inc.,Mar 2  2017 - Mar 6  ,9.95 - 19.99,2.24,-0.68,-0.71,0.1,2.32,-0.66,-0.72,0.19,../test/Nasdaq/TAX/TAX.csv,
TRCH,Torchlight Energy Resources  In,,,null,,
PYDS,PAYMENT DATA SYSTEMS,Mar 22  2017 - Mar 27  ,1.00 - 3.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/PYDS/PYDS.csv,
ARQL,ArQule  Inc.,Feb 27  2017 - Mar 3  ,1.13 - 2.17,-0.07,-0.08,-0.09,-0.1,-0.08,-0.07,-0.08,-0.1,../test/Nasdaq/ARQL/ARQL.csv,
IIJI,Internet Initiative Japan  Inc.,,,null,,
FTD,FTD Companies  Inc.,Mar 14  2017 ,16.86 - 28.70,0.49,0.38,0.73,-0.1,0.55,0.53,0.86,0.18,../test/Nasdaq/FTD/FTD.csv,
TUES,Tuesday Morning Corp.,Apr 27  2017 - May 1  ,3.35 - 9.23,-0.12,-0.13,-0.24,0.37,-0.12,-0.09,-0.2,0.19,../test/Nasdaq/TUES/TUES.csv,
ALJJ,ALJ REGIONAL HLDGS,May 15  2017 - May 19  ,3.65 - 5.50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ALJJ/ALJJ.csv,
DSCI,Derma Sciences  Inc.,May 9  2017 - May 15  ,2.92 - 7.05,-0.39,-0.13,-0.08,-0.04,-0.26,-0.07,0.08,-0.17,../test/Nasdaq/DSCI/DSCI.csv,
TCBIW,Texas Capital Bancshares  Inc.,,,null,,
CWBC,Community West Bancshares,Apr 27  2017 - May 1  ,6.79 - 10.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CWBC/CWBC.csv,
MSCC,Microsemi Corporation,Apr 26  2017 - May 1  ,29.68 - 57.97,0.65,0.72,0.88,0.84,0.67,0.73,0.91,0.86,../test/Nasdaq/MSCC/MSCC.csv,
MRTX,Mirati Therapeutics  Inc.,Mar 7  2017 - Mar 13  ,4.40 - 24.43,-1.03,-0.99,-1.15,-1.16,-0.96,-1.13,-1.11,-0.97,../test/Nasdaq/MRTX/MRTX.csv,
TTMI,TTM Technologies  Inc.,Apr 25  2017 - May 1  ,6.08 - 17.86,0.09,0.18,0.32,0.45,0.14,0.28,0.39,0.58,../test/Nasdaq/TTMI/TTMI.csv,
MSG,The Madison Square Garden Compa,May 4  2017 - May 8  ,156.01 - 205.68,-0.34,-1,-1.15,2.03,-2.47,-2.39,-1.19,2.39,../test/Nasdaq/MSG/MSG.csv,
FRBK,Republic First Bancorp  Inc.,Apr 20  2017 - Apr 24  ,3.70 - 9.15,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,../test/Nasdaq/FRBK/FRBK.csv,
CNTF,China TechFaith Wireless Commun,Mar 28  2017 - Mar 31  ,1.45 - 3.60,0.04,0.08,0.08,0.02,0.07,0.07,0.09,0.5,../test/Nasdaq/CNTF/CNTF.csv,
SCLN,SciClone Pharmaceuticals  Inc.,Mar 8  2017 - Mar 13  ,7.51 - 15.03,N/A,0.03,0.12,0.15,N/A,0.17,-0.08,0.12,../test/Nasdaq/SCLN/SCLN.csv,
NMRX,Numerex Corp.,Mar 13  2017 - Mar 17  ,4.88 - 9.01,-0.02,-0.05,-0.08,-0.09,-0.05,-0.12,-0.43,-0.13,../test/Nasdaq/NMRX/NMRX.csv,
TEDU,Tarena International  Inc.,,,null,,
SPNS,Sapiens International Corporati,Feb 15  2017 - Feb 22  ,10.86 - 15.98,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,../test/Nasdaq/SPNS/SPNS.csv,
CBAN,Colony Bankcorp  Inc.,Apr 19  2017 - Apr 24  ,8.80 - 14.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CBAN/CBAN.csv,
IDLB,PowerShares FTSE International,,,null,,
RILYL,B. Riley Financial  Inc.,,,null,,
SBLKL,Star Bulk Carriers Corp.,,,null,,
DBVT,DBV Technologies S.A.,,,null,,
MBVT,Merchants Bancshares  Inc.,Apr 26  2017 - May 1  ,28.16 - 54.80,0.59,0.57,0.6,0.62,0.5,0.63,0.64,0.73,../test/Nasdaq/MBVT/MBVT.csv,
SGLB,SIGMA LABS  INC.,,,null,,
AXDX,Accelerate Diagnostics  Inc.,,,null,,
INFN,Infinera Corporation,Apr 25  2017 - May 1  ,7.23 - 17.04,0.17,0.18,N/A,-0.13,0.19,0.21,0.05,-0.12,../test/Nasdaq/INFN/INFN.csv,
PME,Pingtan Marine Enterprise Ltd.,Mar 7  2017 - Mar 13  ,0.84 - 5.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/PME/PME.csv,
ESES,ECO-STIM ENERGY,Mar 8  2017 - Mar 13  ,0.66 - 3.38,-0.21,-0.31,-0.26,-0.28,-0.26,-0.36,-0.27,-0.35,../test/Nasdaq/ESES/ESES.csv,
CSB,VictoryShares US Small Cap High,,,null,,
ASRV,AmeriServ Financial Inc.,Apr 17  2017 - Apr 21  ,2.90 - 4.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ASRV/ASRV.csv,
ABEO,Abeona Therapeutics Inc.,Mar 6  2017 - Mar 10  ,2.27 - 9.44,-0.12,-0.13,-0.16,-0.19,-0.07,-0.17,-0.2,-0.08,../test/Nasdaq/ABEO/ABEO.csv,
KLREW,KLR Energy Acquisition Corp.,,,null,,
OXLC,Oxford Lane Capital Corp.,May 17  2017 - May 22  ,7.53 - 11.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/OXLC/OXLC.csv,
MSBI,Midland States Bancorp  Inc.,,,null,,
UCFC,United Community Financial Corp,Apr 17  2017 - Apr 21  ,5.53 - 9.50,0.1,0.1,0.11,0.11,0.07,0.11,0.11,0.12,../test/Nasdaq/UCFC/UCFC.csv,
HBCP,Home Bancorp  Inc.,Apr 24  2017 - Apr 28  ,24.76 - 39.75,0.54,0.56,0.57,0.57,0.47,0.57,0.61,0.6,../test/Nasdaq/HBCP/HBCP.csv,
GGAL,Grupo Financiero Galicia S.A.,Feb 10  2017 - Feb 14  ,23.23 - 35.80,0.73,0.73,0.73,0.77,0.72,0.75,0.78,0.88,../test/Nasdaq/GGAL/GGAL.csv,
GTYH,GTY Technology Holdings  Inc.,,,null,,
TLT,iShares 20+ Year Treasury Bond,,,null,,
HOVNP,Hovnanian Enterprises Inc,,,null,,
BOOM,DMC Global Inc.,Mar 8  2017 - Mar 13  ,5.91 - 17.19,-0.17,-0.18,0.02,-0.13,-0.22,-0.03,-0.01,-0.19,../test/Nasdaq/BOOM/BOOM.csv,
ELTK,Eltek Ltd.,Mar 21  2017 - Mar 27  ,0.72 - 1.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ELTK/ELTK.csv,
IDCC,InterDigital  Inc.,Feb 16  2017 - Feb 20  ,51.97 - 102.30,0.78,0.31,3.01,3.84,0.79,1.14,2.99,3.85,../test/Nasdaq/IDCC/IDCC.csv,
AHPA,Avista Healthcare Public Acquis,,,null,,
MRLN,Marlin Business Services Corp.,Apr 26  2017 - May 1  ,13.70 - 25.55,0.31,0.33,0.36,0.37,0.29,0.36,0.36,0.38,../test/Nasdaq/MRLN/MRLN.csv,
SPLK,Splunk Inc.,Feb 23  2017 - Feb 27  ,45.07 - 66.46,-0.02,0.03,0.08,0.17,-0.02,0.05,0.12,0.25,../test/Nasdaq/SPLK/SPLK.csv,
CECO,Career Education Corporation,Feb 27  2017 - Mar 3  ,4.26 - 10.53,-0.03,-0.1,-0.09,-0.06,0.04,0.17,-0.01,-0.44,../test/Nasdaq/CECO/CECO.csv,
MTRX,Matrix Service Company,May 2  2017 - May 8  ,14.07 - 23.45,0.29,0.3,0.33,0.3,0.16,0.34,0.35,0.2,../test/Nasdaq/MTRX/MTRX.csv,
SOHU,Sohu.com Inc.,Feb 7  2017 - Feb 11  ,32.60 - 53.31,-0.57,-1.37,-2.2,-2.08,-0.55,-1.61,-1.66,-1.78,../test/Nasdaq/SOHU/SOHU.csv,
PODD,Insulet Corporation,Feb 23  2017 - Feb 27  ,26.50 - 48.23,-0.19,-0.17,-0.09,-0.05,-0.19,-0.08,-0.05,-0.16,../test/Nasdaq/PODD/PODD.csv,
LGCYO,Legacy Reserves LP,,,null,,
DAIO,Data I/O Corporation,Feb 23  2017 - Feb 27  ,2.07 - 5.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/DAIO/DAIO.csv,
TNGO,Tangoe  Inc.,Apr 14  2016 - Apr 15  ,5.71 - 10.39,0.19,0.17,0.19,0.11,0.2,0.17,0.1,0.04,../test/Nasdaq/TNGO/TNGO.csv,
PESI,Perma-Fix Environmental Service,Mar 20  2017 - Mar 24  ,2.85 - 5.64,0.16,-0.09,-0.01,0.15,0.07,-0.16,0.05,0.12,../test/Nasdaq/PESI/PESI.csv,
MU,Micron Technology  Inc.,Mar 28  2017 - Apr 3  ,9.35 - 25.92,-0.08,-0.09,-0.12,0.28,-0.05,-0.08,-0.05,0.32,../test/Nasdaq/MU/MU.csv,
LGCY,Legacy Reserves LP,Feb 22  2017 - Feb 27  ,1.13 - 2.77,-0.67,-0.33,-0.22,-0.26,1.47,-0.81,-0.13,-1.53,../test/Nasdaq/LGCY/LGCY.csv,
ISCA,International Speedway Corporat,Apr 3  2017 - Apr 7  ,30.05 - 39.95,0.41,0.32,N/A,0.74,0.44,0.29,0.03,0.72,../test/Nasdaq/ISCA/ISCA.csv,
OMAB,Grupo Aeroportuario del Centro,,,null,,
JVA,Coffee Holding Co.  Inc.,Mar 9  2017 - Mar 13  ,3.48 - 6.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/JVA/JVA.csv,
GEOS,Geospace Technologies Corporati,May 3  2017 - May 8  ,11.05 - 24.37,-0.67,-0.57,-0.46,-0.47,-0.84,-0.89,-0.94,-0.58,../test/Nasdaq/GEOS/GEOS.csv,
AEZS,Aeterna Zentaris Inc.,,,null,,
PEGA,Pegasystems Inc.,Feb 23  2017 - Feb 27  ,23.80 - 45.50,0.17,0.15,0.16,0.37,0.23,0.19,0.17,0.2,../test/Nasdaq/PEGA/PEGA.csv,
ADVM,Adverum Biotechnologies  Inc.,,,null,,
ACRX,AcelRx Pharmaceuticals  Inc.,Mar 6  2017 - Mar 10  ,2.40 - 4.08,-0.2,-0.22,-0.23,-0.24,-0.25,-0.24,-0.25,-0.21,../test/Nasdaq/ACRX/ACRX.csv,
DZSI,DASAN Zhone Solutions  Inc.,,,null,,
AGEN,Agenus Inc.,Mar 1  2017 - Mar 6  ,2.97 - 7.49,-0.17,-0.23,-0.34,-0.3,-0.18,-0.37,-0.33,-0.47,../test/Nasdaq/AGEN/AGEN.csv,
CHSCP,CHS Inc,Jan 5  2017 - Jan 9  ,28.86 - 34.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CHSCP/CHSCP.csv,
EVLMC,Eaton Vance NextShares Trust II,,,null,,
FTSM,First Trust Enhanced Short Matu,,,null,,
IRWD,Ironwood Pharmaceuticals  Inc.,Feb 16  2017 - Feb 20  ,9.06 - 18.53,-0.14,-0.15,-0.24,-0.24,-0.09,-0.15,-0.23,-0.09,../test/Nasdaq/IRWD/IRWD.csv,
FEIM,Frequency Electronics  Inc.,Mar 13  2017 - Mar 17  ,8.60 - 11.99,N/A,N/A,N/A,0.16,N/A,N/A,N/A,0.1,../test/Nasdaq/FEIM/FEIM.csv,
TTNP,TITAN PHARMA INC,Mar 13  2017 - Mar 17  ,3.46 - 8.74,-0.1,-0.12,0.56,-0.11,-0.11,-0.09,0.55,-0.12,../test/Nasdaq/TTNP/TTNP.csv,
